Ticket_ID,Created_Date,Resolved_Date,Priority,Category,Sub_Category,Agent,Team,Channel,Customer_Type,Location,Status,Resolution_Time_Hours,SLA_Hours,Satisfaction_Score,Reopened,Escalated
T001,01-02-2026 09:15,01-02-2026 13:45,High,Hardware,Laptop,Arjun,Level 1,Email,Internal,Hyderabad,Closed,4.5,4,5,No,No
T002,02/02/2026 10:05,03/02/2026 18:30,Medium,Software,MS Office,Priya,L1,Portal,External,Bangalore,closed,32.4,24,4,Yes,No
T003,2-3-26 11:20,,Low,Network,WiFi,RAHUL,Level 2,Call,Internal,Chennai,Open,,8,,No,No
T004,04-02-2026 14:10,04-02-2026 15:00,High,Hardware,Desktop,Kavya,L2,Email,Internal,Mumbai,Closed,0.83,2,3,No,Yes
T005,05/02/26 08:30,05/02/2026 20:45,Medium,Software,Outlook,arjun,Level 1,Portal,External,Hyderabad,Resolved,12.25,8,2,Yes,No
T006,06-02-2026 16:00,07-02-2026 09:30,Critical,Server,Database,Priya,Level 3,Call,Internal,Delhi,Closed,17.5,12,1,No,Yes
T007,07/02/2026 09:10,07/02/2026 11:15,Low,Access,Password Reset,Rahul,L1,Chat,External,Bangalore,Closed,2.08,4,5,No,No
T008,08-02-26 10:00,09-02-2026 17:20,Medium,Network,LAN,KAVYA,Level 2,Email,Internal,Chennai,Closed,31.33,16,4,Yes,Yes
T009,09/02/2026 12:45,09/02/2026 14:10,High,Hardware,Printer,Priya,L1,Portal,External,Mumbai,Closed,1.42,4,3,No,No
T010,10-02-2026 13:00,,Critical,Server,Backup,Arjun,Level 3,Call,Internal,Delhi,In Progress,,6,,No,Yes
T011,11/02/2026 08:20,11/02/2026 10:30,Medium,Software,Excel,,Level 1,Email,External,Hyderabad,Closed,2.17,8,4,No,No
T012,12-02-2026 09:00,12-02-2026 18:00,High,Network,Router,Priya,L2,Portal,Internal,Bangalore,closed,9,6,2,Yes,Yes
T013,13-02-2026 15:00,14-02-2026 10:00,Low,Access,VPN,Rahul,Level 1,Chat,External,Chennai,Resolved,19,24,5,No,No
T014,14/02/2026 16:20,14/02/2026 19:00,Medium,Hardware,Laptop,Kavya,L1,Email,Internal,Mumbai,Closed,2.67,8,4,No,No
T015,15-02-2026 09:50,16-02-2026 12:30,High,Software,ERP,Priya,Level 2,Call,External,Delhi,Closed,26.67,12,2,Yes,Yes